N,P,K,ph,crop
119,35,31,5.16,rice
50,87,24,5.39,lentil
64,55,56,6.77,maize
116,31,34,5.11,rice
186,75,31,6.84,soybean
62,57,55,6.52,maize
148,14,14,7.84,barley
61,55,50,6.68,maize
197,74,33,7.14,soybean
141,18,10,7.6,barley
86,49,46,6.25,wheat
133,27,24,7.2,cotton
107,31,32,5.14,rice
127,22,26,7.0,cotton
165,68,64,6.2,sugarcane
195,76,32,7.03,soybean
113,36,31,5.01,rice
127,21,28,7.4,cotton
214,99,56,5.45,chickpea
108,30,32,5.2,rice
52,83,21,5.44,lentil
117,37,32,5.19,rice
193,78,32,6.82,soybean
116,32,37,5.14,rice
136,29,22,7.16,cotton
56,88,28,5.28,lentil
52,85,24,5.16,lentil
218,96,50,5.48,chickpea
160,67,69,6.15,sugarcane
180,75,34,7.01,soybean
20,68,15,5.93,millet
33,65,10,5.8,millet
47,82,20,5.03,lentil
74,50,58,6.68,maize
47,83,20,5.22,lentil
20,64,15,5.8,millet
185,79,33,7.15,soybean
98,40,43,6.08,wheat
207,96,50,5.24,chickpea
146,13,15,7.72,barley
182,75,37,6.96,soybean
42,94,20,5.41,lentil
129,26,21,7.19,cotton
170,61,66,6.27,sugarcane
109,37,39,5.09,rice
111,39,33,5.49,rice
164,69,69,6.17,sugarcane
36,72,17,5.84,millet
140,17,18,7.6,barley
165,66,68,6.26,sugarcane
98,46,49,6.39,wheat
73,54,57,6.52,maize
36,62,19,5.69,millet
195,78,36,6.96,soybean
58,84,28,5.38,lentil
127,20,28,7.03,cotton
101,31,36,5.34,rice
145,12,14,7.57,barley
93,48,47,6.27,wheat
94,49,47,6.45,wheat
39,74,14,5.57,millet
129,21,25,7.19,cotton
136,29,24,7.18,cotton
159,19,16,7.63,barley
50,82,28,5.36,lentil
106,34,35,5.37,rice
217,92,59,5.42,chickpea
33,68,11,5.91,millet
143,11,17,7.95,barley
49,88,29,5.07,lentil
126,20,22,7.27,cotton
211,95,57,5.56,chickpea
149,10,17,7.78,barley
134,24,28,7.17,cotton
155,18,10,7.51,barley
51,84,25,5.21,lentil
211,96,56,5.49,chickpea
73,52,51,6.63,maize
90,40,43,6.16,wheat
173,62,60,6.01,sugarcane
184,77,37,7.13,soybean
156,15,16,7.88,barley
128,29,20,7.41,cotton
95,46,45,6.17,wheat
153,19,12,7.92,barley
205,93,55,5.24,chickpea
212,96,57,5.39,chickpea
192,73,38,7.15,soybean
102,35,30,5.45,rice
177,62,60,6.12,sugarcane
46,84,27,5.09,lentil
97,42,42,6.07,wheat
52,97,25,5.35,lentil
162,69,64,6.27,sugarcane
58,93,29,5.19,lentil
104,39,34,5.04,rice
186,76,31,6.81,soybean
203,93,55,5.25,chickpea
217,96,52,5.24,chickpea
31,69,12,5.64,millet
134,27,26,7.12,cotton
70,54,58,6.92,maize
71,54,59,6.81,maize
157,15,13,7.94,barley
171,61,60,6.07,sugarcane
49,88,27,5.02,lentil
184,76,39,6.99,soybean
77,53,50,6.52,maize
42,85,26,5.12,lentil
35,76,14,5.92,millet
48,96,20,5.31,lentil
33,76,10,5.91,millet
81,41,40,6.2,wheat
44,86,24,5.22,lentil
51,90,28,5.12,lentil
80,43,49,6.25,wheat
32,76,15,5.83,millet
134,23,23,7.26,cotton
106,33,39,5.35,rice
168,62,64,6.02,sugarcane
190,71,34,7.17,soybean
36,65,19,5.85,millet
83,45,48,6.12,wheat
163,68,62,6.24,sugarcane
219,97,55,5.34,chickpea
180,73,33,6.92,soybean
194,77,39,6.97,soybean
20,77,19,5.95,millet
105,30,30,5.02,rice
29,61,18,5.53,millet
145,16,13,7.93,barley
28,75,10,5.72,millet
47,98,21,5.29,lentil
160,60,60,6.25,sugarcane
48,91,29,5.2,lentil
159,14,11,7.69,barley
174,62,61,6.01,sugarcane
186,78,36,6.91,soybean
25,72,17,5.89,millet
29,73,12,5.54,millet
140,15,18,7.64,barley
58,97,24,5.43,lentil
47,84,25,5.42,lentil
153,10,18,7.99,barley
89,45,43,6.09,wheat
157,17,18,7.72,barley
90,45,46,6.05,wheat
61,58,52,6.74,maize
187,74,38,7.16,soybean
142,14,11,7.95,barley
132,22,27,7.2,cotton
49,80,22,5.31,lentil
32,75,16,5.57,millet
149,18,10,7.8,barley
173,68,63,6.21,sugarcane
191,78,32,7.14,soybean
154,12,13,7.86,barley
40,88,29,5.25,lentil
187,72,38,6.92,soybean
90,49,45,6.15,wheat
150,18,14,7.99,barley
192,77,30,7.19,soybean
24,62,10,5.6,millet
31,64,19,5.61,millet
56,84,21,5.09,lentil
138,20,21,7.34,cotton
104,37,38,5.25,rice
92,49,48,6.1,wheat
185,75,39,6.83,soybean
140,13,13,7.86,barley
169,69,67,6.35,sugarcane
126,22,29,7.27,cotton
188,76,34,6.96,soybean
66,51,50,6.81,maize
120,23,21,7.14,cotton
163,63,60,6.13,sugarcane
147,11,15,7.84,barley
52,82,28,5.33,lentil
173,68,66,6.26,sugarcane
50,85,20,5.08,lentil
48,86,21,5.24,lentil
200,91,50,5.38,chickpea
149,10,11,7.82,barley
65,55,57,6.85,maize
71,58,54,6.83,maize
51,97,21,5.05,lentil
78,53,57,6.8,maize
92,40,45,6.23,wheat
60,58,59,6.62,maize
181,79,38,7.1,soybean
55,90,29,5.28,lentil
132,20,27,7.07,cotton
119,37,38,5.48,rice
82,45,42,6.17,wheat
20,61,13,5.68,millet
28,72,12,5.64,millet
61,59,57,6.79,maize
126,23,21,7.02,cotton
89,48,46,6.26,wheat
36,77,13,5.73,millet
196,75,32,6.99,soybean
127,27,24,7.46,cotton
158,13,12,7.61,barley
127,20,28,7.14,cotton
23,73,19,5.88,millet
185,70,37,6.98,soybean
77,50,56,6.52,maize
120,25,26,7.01,cotton
165,61,63,6.13,sugarcane
165,60,61,6.33,sugarcane
169,66,65,6.03,sugarcane
72,51,50,6.74,maize
97,41,46,6.44,wheat
117,39,31,5.2,rice
71,51,50,6.94,maize
52,91,25,5.29,lentil
199,76,31,6.93,soybean
184,78,36,6.93,soybean
143,18,17,7.95,barley
90,43,49,6.23,wheat
146,13,17,7.95,barley
49,80,21,5.0,lentil
63,50,56,6.68,maize
107,31,37,5.28,rice
50,94,21,5.4,lentil
143,13,19,7.87,barley
136,27,29,7.42,cotton
52,89,25,5.36,lentil
214,93,53,5.41,chickpea
192,70,33,6.85,soybean
119,39,31,5.18,rice
153,14,17,7.76,barley
182,70,39,7.02,soybean
199,73,31,6.81,soybean
166,64,66,6.31,sugarcane
96,41,49,6.28,wheat
156,18,15,7.55,barley
43,91,29,5.2,lentil
204,97,50,5.32,chickpea
198,79,36,6.93,soybean
46,89,21,5.2,lentil
112,33,31,5.14,rice
219,92,57,5.47,chickpea
219,97,50,5.24,chickpea
124,25,23,7.09,cotton
140,15,12,7.55,barley
101,37,37,5.16,rice
149,18,13,8.0,barley
197,79,37,6.82,soybean
140,19,15,7.97,barley
24,64,12,5.92,millet
64,52,54,6.69,maize
94,47,44,6.4,wheat
160,61,65,6.28,sugarcane
174,64,60,6.28,sugarcane
20,63,18,5.9,millet
210,98,59,5.44,chickpea
89,40,44,6.44,wheat
105,35,38,5.0,rice
178,69,66,6.2,sugarcane
169,61,68,6.09,sugarcane
167,66,63,6.11,sugarcane
108,39,35,5.07,rice
137,28,20,7.31,cotton
113,32,37,5.05,rice
211,93,50,5.24,chickpea
72,51,56,6.59,maize
57,80,26,5.04,lentil
80,40,42,6.41,wheat
115,37,36,5.47,rice
132,28,21,7.35,cotton
47,99,24,5.34,lentil
106,37,30,5.27,rice
109,36,39,5.41,rice
25,70,12,5.91,millet
199,79,32,6.9,soybean
95,43,47,6.4,wheat
43,90,22,5.21,lentil
186,75,37,7.16,soybean
184,77,35,7.05,soybean
183,76,35,6.89,soybean
97,40,41,6.43,wheat
126,29,26,7.29,cotton
117,37,36,5.43,rice
76,55,50,6.96,maize
103,31,33,5.15,rice
161,63,60,6.13,sugarcane
192,75,37,6.93,soybean
91,45,46,6.13,wheat
164,66,65,6.31,sugarcane
32,78,14,5.88,millet
183,70,31,7.13,soybean
145,12,10,7.85,barley
25,72,19,5.66,millet
71,58,51,6.96,maize
102,35,34,5.48,rice
68,58,58,6.94,maize
140,19,14,7.6,barley
112,34,34,5.38,rice
25,65,11,5.96,millet
164,67,60,6.32,sugarcane
107,34,34,5.22,rice
118,34,30,5.07,rice
66,50,52,6.89,maize
105,33,38,5.35,rice
180,74,35,6.99,soybean
180,71,37,6.86,soybean
201,98,56,5.44,chickpea
99,40,45,6.35,wheat
168,64,65,6.4,sugarcane
54,98,20,5.18,lentil
74,58,57,6.82,maize
65,50,58,6.63,maize
39,65,14,5.82,millet
37,71,12,5.54,millet
24,74,18,5.79,millet
53,88,20,5.3,lentil
58,97,25,5.14,lentil
82,47,41,6.28,wheat
106,39,36,5.26,rice
28,68,12,5.71,millet
219,97,52,5.39,chickpea
105,39,34,5.02,rice
99,48,43,6.49,wheat
134,25,26,7.46,cotton
79,53,57,6.51,maize
182,70,35,7.05,soybean
41,99,28,5.21,lentil
39,75,13,5.69,millet
140,12,19,7.66,barley
165,64,62,6.09,sugarcane
165,63,61,6.08,sugarcane
151,15,17,7.65,barley
36,65,19,5.85,millet
37,73,18,5.7,millet
162,67,65,6.39,sugarcane
104,34,35,5.38,rice
153,14,17,7.94,barley
153,14,18,7.67,barley
158,15,16,7.89,barley
139,23,25,7.15,cotton
40,96,22,5.29,lentil
117,35,34,5.11,rice
158,10,15,7.53,barley
131,23,26,7.43,cotton
59,98,20,5.19,lentil
96,43,45,6.38,wheat
204,93,58,5.34,chickpea
130,23,25,7.26,cotton
215,97,55,5.28,chickpea
189,79,36,7.0,soybean
109,35,39,5.42,rice
101,37,35,5.11,rice
208,94,52,5.58,chickpea
180,76,30,7.11,soybean
124,23,20,7.1,cotton
201,91,50,5.58,chickpea
165,66,65,6.23,sugarcane
48,93,23,5.23,lentil
214,94,58,5.59,chickpea
142,10,11,7.85,barley
198,73,36,7.19,soybean
197,72,30,6.91,soybean
86,49,47,6.09,wheat
74,53,56,6.79,maize
194,72,33,7.07,soybean
62,53,55,6.74,maize
145,18,12,7.69,barley
199,71,38,6.97,soybean
49,87,22,5.08,lentil
166,66,64,6.13,sugarcane
193,70,39,7.12,soybean
181,73,33,7.07,soybean
154,16,13,7.99,barley
206,92,56,5.38,chickpea
47,99,29,5.21,lentil
77,56,56,6.55,maize
211,92,59,5.31,chickpea
215,98,54,5.48,chickpea
77,50,51,6.62,maize
150,11,13,7.68,barley
169,62,60,6.18,sugarcane
79,55,57,6.99,maize
112,32,35,5.47,rice
142,16,14,7.6,barley
191,72,32,7.13,soybean
209,90,56,5.23,chickpea
140,10,16,7.63,barley
189,73,35,6.93,soybean
46,99,26,5.41,lentil
205,99,52,5.47,chickpea
202,93,59,5.54,chickpea
39,77,19,5.9,millet
217,93,57,5.24,chickpea
24,63,15,5.97,millet
133,23,21,7.36,cotton
54,92,24,5.2,lentil
128,25,23,7.37,cotton
98,49,44,6.34,wheat
157,10,15,7.51,barley
166,60,66,6.14,sugarcane
171,60,67,6.39,sugarcane
143,12,18,7.62,barley
97,48,47,6.31,wheat
80,46,44,6.49,wheat
27,64,10,5.65,millet
34,65,11,5.59,millet
213,92,51,5.23,chickpea
158,13,16,7.88,barley
203,90,54,5.34,chickpea
176,62,63,6.32,sugarcane
106,33,37,5.3,rice
83,47,42,6.32,wheat
118,30,37,5.5,rice
117,31,33,5.32,rice
28,75,17,5.84,millet
210,99,52,5.49,chickpea
79,58,56,6.96,maize
125,22,27,7.02,cotton
104,33,31,5.37,rice
121,28,21,7.02,cotton
46,87,21,5.3,lentil
217,91,56,5.34,chickpea
41,98,24,5.08,lentil
30,75,17,5.67,millet
61,57,54,6.96,maize
118,36,32,5.13,rice
137,29,21,7.02,cotton
87,45,41,6.04,wheat
35,63,15,5.51,millet
157,17,15,7.91,barley
144,16,10,7.98,barley
173,68,68,6.33,sugarcane
88,43,40,6.08,wheat
155,17,11,7.85,barley
103,37,30,5.12,rice
189,77,38,7.07,soybean
148,16,11,7.59,barley
119,31,39,5.28,rice
187,70,31,7.01,soybean
128,23,20,7.21,cotton
136,22,29,7.13,cotton
128,28,29,7.02,cotton
167,61,66,6.39,sugarcane
75,52,56,6.78,maize
76,53,50,6.83,maize
48,84,20,5.38,lentil
133,27,25,7.41,cotton
200,97,53,5.37,chickpea
203,98,59,5.42,chickpea
67,55,55,6.72,maize
160,65,61,6.06,sugarcane
162,65,61,6.14,sugarcane
85,49,46,6.47,wheat
108,31,34,5.15,rice
160,67,69,6.13,sugarcane
180,74,37,7.03,soybean
128,21,20,7.23,cotton
116,36,36,5.43,rice
56,82,21,5.24,lentil
196,70,31,7.06,soybean
126,28,22,7.27,cotton
157,15,11,7.95,barley
158,13,18,7.5,barley
113,37,31,5.08,rice
189,74,39,7.14,soybean
97,48,42,6.18,wheat
71,51,53,6.59,maize
208,99,58,5.41,chickpea
201,94,53,5.45,chickpea
98,45,47,6.39,wheat
185,75,33,7.19,soybean
52,87,25,5.01,lentil
94,40,42,6.38,wheat
100,30,32,5.41,rice
162,68,65,6.09,sugarcane
81,46,49,6.05,wheat
80,46,49,6.26,wheat
177,66,60,6.34,sugarcane
85,42,45,6.07,wheat
52,96,20,5.14,lentil
86,40,46,6.2,wheat
93,47,47,6.22,wheat
30,64,14,5.92,millet
187,71,37,6.8,soybean
183,78,38,6.81,soybean
44,90,28,5.21,lentil
27,61,18,5.74,millet
183,79,37,7.08,soybean
186,74,31,7.06,soybean
88,40,40,6.24,wheat
158,14,18,7.99,barley
123,26,29,7.04,cotton
130,20,28,7.37,cotton
86,46,45,6.09,wheat
106,34,38,5.03,rice
33,76,10,5.82,millet
29,74,12,5.86,millet
148,19,18,7.79,barley
184,72,34,7.2,soybean
24,70,17,5.53,millet
116,36,36,5.24,rice
217,93,52,5.37,chickpea
97,49,41,6.31,wheat
190,73,31,6.98,soybean
155,18,19,7.84,barley
85,43,47,6.48,wheat
57,99,25,5.0,lentil
219,95,53,5.26,chickpea
69,52,54,6.97,maize
164,69,66,6.1,sugarcane
130,25,22,7.33,cotton
192,76,30,6.81,soybean
89,48,49,6.17,wheat
33,70,10,5.97,millet
211,99,58,5.4,chickpea
44,83,24,5.45,lentil
183,72,31,6.94,soybean
146,19,15,7.66,barley
216,91,58,5.57,chickpea
26,65,16,5.71,millet
165,61,62,6.25,sugarcane
89,47,43,6.05,wheat
57,90,22,5.37,lentil
186,70,32,7.08,soybean
100,31,30,5.25,rice
54,82,27,5.11,lentil
108,33,30,5.03,rice
47,94,25,5.21,lentil
47,91,23,5.29,lentil
157,17,19,7.88,barley
22,65,16,5.69,millet
57,88,24,5.19,lentil
202,93,57,5.33,chickpea
189,73,34,7.12,soybean
21,60,11,5.62,millet
164,68,63,6.38,sugarcane
119,35,36,5.29,rice
202,95,52,5.45,chickpea
146,17,11,7.77,barley
58,97,23,5.18,lentil
141,11,13,7.58,barley
133,21,28,7.33,cotton
145,10,10,7.55,barley
200,92,55,5.54,chickpea
55,85,20,5.09,lentil
98,47,42,6.2,wheat
214,96,50,5.26,chickpea
153,13,18,7.93,barley
79,58,52,6.57,maize
95,42,48,6.44,wheat
60,51,59,6.83,maize
134,26,28,7.1,cotton
196,74,32,6.99,soybean
163,64,64,6.31,sugarcane
115,35,30,5.42,rice
118,33,36,5.09,rice
72,51,54,6.96,maize
80,47,43,6.12,wheat
60,50,56,6.82,maize
164,67,66,6.1,sugarcane
129,21,23,7.38,cotton
139,25,26,7.26,cotton
189,79,37,7.01,soybean
209,98,50,5.51,chickpea
80,45,46,6.19,wheat
163,60,65,6.39,sugarcane
205,92,59,5.55,chickpea
123,22,21,7.02,cotton
32,73,14,5.95,millet
69,50,54,6.54,maize
21,72,10,5.79,millet
90,45,43,6.44,wheat
183,78,36,7.16,soybean
134,29,20,7.36,cotton
79,57,57,6.65,maize
126,20,27,7.18,cotton
21,65,17,5.7,millet
102,34,39,5.13,rice
198,77,33,7.2,soybean
104,36,31,5.24,rice
41,85,29,5.14,lentil
121,27,24,7.37,cotton
145,17,10,7.71,barley
203,91,57,5.4,chickpea
142,19,10,7.57,barley
192,70,38,7.06,soybean
96,42,45,6.05,wheat
157,15,13,7.92,barley
20,63,19,5.54,millet
76,58,50,6.87,maize
67,57,50,6.66,maize
197,78,37,7.02,soybean
49,98,21,5.48,lentil
125,26,22,7.2,cotton
58,92,25,5.27,lentil
213,94,52,5.52,chickpea
178,63,63,6.21,sugarcane
201,91,50,5.31,chickpea
175,62,69,6.1,sugarcane
196,72,31,6.99,soybean
33,79,16,5.87,millet
99,45,47,6.06,wheat
170,62,65,6.32,sugarcane
49,97,23,5.01,lentil
212,90,57,5.34,chickpea
181,74,33,6.93,soybean
69,59,59,6.7,maize
103,35,38,5.08,rice
134,21,25,7.49,cotton
40,95,21,5.11,lentil
190,73,37,7.17,soybean
107,38,32,5.3,rice
115,37,30,5.08,rice
39,71,14,5.68,millet
188,72,35,7.14,soybean
55,99,28,5.1,lentil
71,58,59,6.72,maize
152,13,16,7.7,barley
133,28,25,7.12,cotton
135,29,23,7.35,cotton
54,82,20,5.3,lentil
176,63,67,6.36,sugarcane
104,32,37,5.14,rice
82,43,43,6.36,wheat
96,42,48,6.21,wheat
76,51,51,6.72,maize
218,98,54,5.38,chickpea
205,93,50,5.24,chickpea
107,31,33,5.17,rice
178,60,63,6.14,sugarcane
172,64,63,6.27,sugarcane
205,97,54,5.21,chickpea
85,45,41,6.45,wheat
100,33,34,5.14,rice
176,64,66,6.29,sugarcane
184,72,32,7.03,soybean
150,15,18,7.69,barley
163,69,63,6.13,sugarcane
202,93,52,5.29,chickpea
173,61,63,6.37,sugarcane
37,66,12,5.74,millet
78,50,53,6.8,maize
205,96,51,5.26,chickpea
41,99,23,5.41,lentil
82,48,44,6.43,wheat
36,70,14,5.79,millet
168,65,67,6.04,sugarcane
76,50,56,6.94,maize
154,19,10,7.85,barley
178,62,64,6.27,sugarcane
179,61,65,6.39,sugarcane
198,79,39,7.03,soybean
172,63,63,6.19,sugarcane
192,77,34,7.12,soybean
51,98,24,5.43,lentil
169,69,63,6.11,sugarcane
90,44,45,6.34,wheat
191,77,30,6.99,soybean
183,76,32,6.9,soybean
65,59,58,6.96,maize
205,91,51,5.48,chickpea
184,78,33,6.95,soybean
30,70,17,5.54,millet
62,52,52,6.8,maize
43,86,20,5.4,lentil
73,57,53,6.9,maize
61,52,54,6.83,maize
28,69,14,5.57,millet
115,31,32,5.18,rice
117,31,35,5.39,rice
28,65,19,5.9,millet
69,53,56,6.88,maize
38,73,17,5.68,millet
211,99,58,5.51,chickpea
88,48,42,6.3,wheat
191,79,38,7.05,soybean
166,66,61,6.08,sugarcane
159,19,18,7.76,barley
132,26,22,7.3,cotton
197,78,32,7.13,soybean
92,48,49,6.08,wheat
71,52,55,6.96,maize
120,27,22,7.24,cotton
199,74,38,6.96,soybean
108,38,37,5.36,rice
84,43,46,6.49,wheat
23,68,12,5.96,millet
191,73,38,6.95,soybean
44,81,28,5.07,lentil
67,52,52,6.76,maize
52,85,26,5.15,lentil
188,74,31,7.03,soybean
84,46,48,6.48,wheat
178,61,68,6.33,sugarcane
34,77,15,5.77,millet
103,33,39,5.44,rice
109,38,36,5.26,rice
142,10,12,7.95,barley
46,97,21,5.18,lentil
20,75,18,5.98,millet
103,37,38,5.45,rice
116,39,37,5.49,rice
156,12,17,7.7,barley
41,92,25,5.16,lentil
127,20,23,7.34,cotton
186,70,36,6.87,soybean
110,35,36,5.44,rice
31,61,19,5.55,millet
206,92,54,5.49,chickpea
154,17,11,7.75,barley
107,30,36,5.3,rice
113,31,30,5.01,rice
95,41,40,6.35,wheat
141,17,14,7.9,barley
85,49,40,6.44,wheat
109,32,36,5.33,rice
88,42,41,6.08,wheat
50,89,23,5.44,lentil
127,27,27,7.28,cotton
30,63,18,5.96,millet
150,13,17,7.72,barley
100,36,39,5.36,rice
97,45,43,6.15,wheat
196,74,33,7.05,soybean
165,61,64,6.03,sugarcane
160,68,64,6.09,sugarcane
187,78,36,6.84,soybean
68,59,52,6.83,maize
165,68,66,6.18,sugarcane
100,32,31,5.26,rice
37,76,14,5.98,millet
93,49,42,6.44,wheat
59,98,22,5.34,lentil
63,59,58,6.96,maize
92,43,45,6.06,wheat
97,41,44,6.31,wheat
189,78,33,6.81,soybean
27,60,18,5.8,millet
155,15,18,7.95,barley
76,51,51,6.83,maize
131,22,22,7.09,cotton
160,62,62,6.11,sugarcane
132,27,22,7.32,cotton
185,79,39,7.08,soybean
168,65,63,6.17,sugarcane
203,97,56,5.43,chickpea
119,32,37,5.16,rice
49,80,25,5.08,lentil
188,72,36,6.96,soybean
45,90,28,5.38,lentil
99,44,47,6.37,wheat
29,79,13,5.56,millet
142,11,19,7.88,barley
129,25,21,7.24,cotton
87,46,44,6.45,wheat
130,27,24,7.14,cotton
106,36,38,5.01,rice
141,12,10,7.95,barley
143,11,16,7.7,barley
101,30,36,5.27,rice
177,63,60,6.12,sugarcane
44,96,21,5.5,lentil
140,14,16,7.99,barley
215,90,57,5.48,chickpea
118,39,31,5.19,rice
88,44,49,6.29,wheat
177,63,64,6.22,sugarcane
80,43,40,6.43,wheat
28,68,11,5.65,millet
95,40,47,6.21,wheat
20,65,18,5.68,millet
106,31,35,5.28,rice
111,34,30,5.42,rice
81,49,49,6.33,wheat
123,26,28,7.01,cotton
95,41,46,6.08,wheat
169,64,62,6.07,sugarcane
196,72,35,6.81,soybean
173,66,66,6.03,sugarcane
167,61,67,6.2,sugarcane
49,86,21,5.13,lentil
186,74,33,7.07,soybean
48,90,25,5.25,lentil
208,97,57,5.33,chickpea
219,90,50,5.58,chickpea
86,46,42,6.13,wheat
67,56,55,6.53,maize
198,71,30,6.91,soybean
108,35,31,5.28,rice
72,50,55,6.79,maize
169,66,68,6.13,sugarcane
159,14,14,7.66,barley
78,57,59,6.98,maize
49,96,25,5.03,lentil
145,12,19,7.53,barley
197,79,37,6.82,soybean
182,72,36,7.17,soybean
194,77,33,6.93,soybean
74,55,55,6.5,maize
186,70,31,6.91,soybean
68,52,52,6.67,maize
124,29,27,7.08,cotton
219,90,56,5.49,chickpea
212,90,58,5.22,chickpea
209,94,54,5.53,chickpea
51,83,27,5.29,lentil
80,41,46,6.46,wheat
122,29,25,7.26,cotton
130,28,29,7.22,cotton
30,63,16,5.85,millet
129,24,24,7.12,cotton
93,47,42,6.19,wheat
46,93,27,5.28,lentil
142,12,19,7.78,barley
156,18,17,7.52,barley
97,47,47,6.05,wheat
94,43,49,6.09,wheat
204,99,53,5.54,chickpea
217,98,57,5.4,chickpea
